Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=4	avg=975.00	stddev=17.32	bps=3120000.00
Time:1663792047	n=4	avg=737.75	stddev=358.97	bps=2360800.00
Time:1663792047	n=3	avg=728.33	stddev=305.00	bps=1748000.00
Time:1663792047	n=2	avg=1092.00	stddev=0.00	bps=1747200.00
Time:1663792047	n=1	avg=1092.00	stddev=0.00	bps=873600.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=4	avg=1099.00	stddev=0.00	bps=3516800.00
Time:1663792047	n=2	avg=1099.00	stddev=0.00	bps=1758400.00
Time:1663792047	n=2	avg=1099.00	stddev=0.00	bps=1758400.00
Time:1663792047	n=2	avg=1095.00	stddev=4.00	bps=1752000.00
Time:1663792047	n=4	avg=847.25	stddev=422.19	bps=2711200.00
Time:1663792047	n=2	avg=1091.00	stddev=0.00	bps=1745600.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=1	avg=538.00	stddev=0.00	bps=430400.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=2	avg=1091.00	stddev=0.00	bps=1745600.00
Time:1663792047	n=5	avg=1047.40	stddev=87.20	bps=4189600.00
Time:1663792047	n=3	avg=872.33	stddev=0.47	bps=2093600.00
Time:1663792047	n=3	avg=883.00	stddev=0.00	bps=2119200.00
Time:1663792047	n=2	avg=958.00	stddev=76.00	bps=1532800.00
Time:1663792047	n=3	avg=728.00	stddev=432.75	bps=1747200.00
Time:1663792047	n=2	avg=1033.50	stddev=0.50	bps=1653600.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=1	avg=1033.00	stddev=0.00	bps=826400.00
Time:1663792047	n=3	avg=727.33	stddev=432.28	bps=1745600.00
Time:1663792047	n=4	avg=1033.00	stddev=0.00	bps=3305600.00
Time:1663792047	n=7	avg=335.00	stddev=442.07	bps=1876000.00
Time:1663792047	n=2	avg=354.00	stddev=57.00	bps=566400.00
Time:1663792047	n=4	avg=944.25	stddev=0.43	bps=3021600.00
Time:1663792047	n=1	avg=137.00	stddev=0.00	bps=109600.00
Time:1663792047	n=1	avg=944.00	stddev=0.00	bps=755200.00
Time:1663792047	n=2	avg=138.00	stddev=1.00	bps=220800.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=5	avg=674.00	stddev=484.13	bps=2696000.00
Time:1663792047	n=4	avg=840.75	stddev=409.20	bps=2690400.00
Time:1663792047	n=1	avg=1077.00	stddev=0.00	bps=861600.00
Time:1663792047	n=1	avg=123.00	stddev=0.00	bps=98400.00
Time:1663792047	n=3	avg=1076.67	stddev=0.47	bps=2584000.00
Time:1663792047	n=1	avg=125.00	stddev=0.00	bps=100000.00
Time:1663792047	n=3	avg=1073.33	stddev=3.77	bps=2576000.00
Time:1663792047	n=4	avg=640.50	stddev=431.90	bps=2049600.00
Time:1663792047	n=1	avg=1100.00	stddev=0.00	bps=880000.00
Time:1663792047	n=3	avg=445.67	stddev=463.19	bps=1069600.00
Time:1663792047	n=1	avg=1100.00	stddev=0.00	bps=880000.00
Time:1663792047	n=1	avg=155.00	stddev=0.00	bps=124000.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=3	avg=133.33	stddev=69.67	bps=320000.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=2	avg=152.00	stddev=0.00	bps=243200.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=4	avg=771.50	stddev=358.25	bps=2468800.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=2	avg=564.00	stddev=414.00	bps=902400.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=3	avg=992.33	stddev=0.47	bps=2381600.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=2	avg=147.00	stddev=3.00	bps=235200.00
Time:1663792048	n=1	avg=1017.00	stddev=0.00	bps=813600.00
Time:1663792048	n=3	avg=728.33	stddev=406.82	bps=1748000.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=1	avg=136.00	stddev=0.00	bps=108800.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=1	avg=130.00	stddev=0.00	bps=104000.00
Time:1663792048	n=1	avg=55.00	stddev=0.00	bps=44000.00
Time:1663792048	n=4	avg=1100.00	stddev=0.00	bps=3520000.00
Time:1663792048	n=3	avg=777.00	stddev=455.38	bps=1864800.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=2	avg=610.00	stddev=489.00	bps=976000.00
Time:1663792048	n=1	avg=1099.00	stddev=0.00	bps=879200.00
Time:1663792048	n=3	avg=99.67	stddev=15.08	bps=239200.00
Time:1663792048	n=1	avg=1098.00	stddev=0.00	bps=878400.00
Time:1663792048	n=1	avg=129.00	stddev=0.00	bps=103200.00
Time:1663792048	n=2	avg=1098.00	stddev=0.00	bps=1756800.00
Time:1663792048	n=1	avg=121.00	stddev=0.00	bps=96800.00
Time:1663792048	n=1	avg=1098.00	stddev=0.00	bps=878400.00
Time:1663792048	n=3	avg=446.67	stddev=460.63	bps=1072000.00
Time:1663792048	n=1	avg=1098.00	stddev=0.00	bps=878400.00
Time:1663792048	n=5	avg=739.20	stddev=442.06	bps=2956800.00
Time:1663792048	n=3	avg=773.67	stddev=458.68	bps=1856800.00
Time:1663792048	n=1	avg=238.00	stddev=0.00	bps=190400.00
Time:1663792048	n=2	avg=1098.00	stddev=0.00	bps=1756800.00
Time:1663792048	n=1	avg=1098.00	stddev=0.00	bps=878400.00
Time:1663792048	n=1	avg=123.00	stddev=0.00	bps=98400.00
Time:1663792048	n=4	avg=961.00	stddev=237.29	bps=3075200.00
Time:1663792048	n=1	avg=116.00	stddev=0.00	bps=92800.00
Time:1663792048	n=1	avg=145.00	stddev=0.00	bps=116000.00
Time:1663792048	n=3	avg=1098.00	stddev=0.00	bps=2635200.00
Time:1663792048	n=2	avg=1098.00	stddev=0.00	bps=1756800.00
Time:1663792048	n=1	avg=1097.00	stddev=0.00	bps=877600.00
Time:1663792048	n=4	avg=1044.75	stddev=90.50	bps=3343200.00
Time:1663792048	n=2	avg=887.00	stddev=0.00	bps=1419200.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=3	avg=696.33	stddev=282.47	bps=1671200.00
Time:1663792048	n=8	avg=477.50	stddev=435.50	bps=3056000.00
Time:1663792048	n=1	avg=116.00	stddev=0.00	bps=92800.00
Time:1663792048	n=2	avg=992.50	stddev=0.50	bps=1588000.00
Time:1663792048	n=2	avg=1049.50	stddev=57.50	bps=1679200.00
Time:1663792048	n=2	avg=1103.00	stddev=4.00	bps=1764800.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=3	avg=1098.33	stddev=0.47	bps=2636000.00
Time:1663792048	n=3	avg=770.67	stddev=462.92	bps=1849600.00
Time:1663792048	n=3	avg=1057.67	stddev=57.04	bps=2538400.00
Time:1663792048	n=2	avg=976.50	stddev=0.50	bps=1562400.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=4	avg=765.00	stddev=374.70	bps=2448000.00
Time:1663792048	n=1	avg=981.00	stddev=0.00	bps=784800.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=3	avg=1056.00	stddev=0.00	bps=2534400.00
Time:1663792048	n=2	avg=1055.00	stddev=0.00	bps=1688000.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=3	avg=1032.33	stddev=32.06	bps=2477600.00
Time:1663792048	n=3	avg=939.67	stddev=65.53	bps=2255200.00
Time:1663792048	n=2	avg=485.00	stddev=369.00	bps=776000.00
Time:1663792048	n=1	avg=101.00	stddev=0.00	bps=80800.00
Time:1663792048	n=1	avg=52.00	stddev=0.00	bps=41600.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=1	avg=55.00	stddev=0.00	bps=44000.00
Time:1663792048	n=1	avg=854.00	stddev=0.00	bps=683200.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=1	avg=930.00	stddev=0.00	bps=744000.00
Time:1663792048	n=4	avg=522.00	stddev=408.00	bps=1670400.00
Time:1663792048	n=2	avg=929.00	stddev=0.00	bps=1486400.00
Time:1663792048	n=1	avg=305.00	stddev=0.00	bps=244000.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=1	avg=116.00	stddev=0.00	bps=92800.00
Time:1663792048	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792048	n=4	avg=817.75	stddev=419.01	bps=2616800.00
Time:1663792049	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792049	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792049	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792049	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792049	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792049	n=1	avg=1059.00	stddev=0.00	bps=847200.00
Time:1663792049	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792049	n=4	avg=815.75	stddev=404.00	bps=2610400.00
