Time:1663791671	n=40	avg=91.45	stddev=56.55	bps=29264.00
Time:1663791672	n=44	avg=173.30	stddev=156.50	bps=61000.00
Time:1663791673	n=70	avg=227.39	stddev=107.19	bps=127336.00
Time:1663791674	n=71	avg=150.52	stddev=113.28	bps=85496.00
Time:1663791675	n=50	avg=231.10	stddev=82.10	bps=92440.00
Time:1663791676	n=76	avg=189.72	stddev=87.77	bps=115352.00
Time:1663791677	n=67	avg=150.70	stddev=69.72	bps=80776.00
Time:1663791678	n=63	avg=144.13	stddev=80.07	bps=72640.00
Time:1663791679	n=75	avg=184.23	stddev=113.46	bps=110536.00
Time:1663791680	n=85	avg=133.41	stddev=119.38	bps=90720.00
Time:1663791681	n=45	avg=163.64	stddev=91.76	bps=58912.00
Time:1663791682	n=63	avg=120.56	stddev=61.74	bps=60760.00
Time:1663791683	n=51	avg=93.88	stddev=69.49	bps=38304.00
Time:1663791684	n=96	avg=156.24	stddev=146.58	bps=119992.00
Time:1663791685	n=89	avg=153.09	stddev=114.73	bps=109000.00
Time:1663791686	n=88	avg=165.68	stddev=119.45	bps=116640.00
Time:1663791687	n=92	avg=150.11	stddev=112.03	bps=110480.00
Time:1663791688	n=80	avg=140.21	stddev=85.83	bps=89736.00
Time:1663791689	n=55	avg=135.13	stddev=78.01	bps=59456.00
Time:1663791690	n=91	avg=141.41	stddev=153.63	bps=102944.00
Time:1663791691	n=47	avg=140.36	stddev=89.63	bps=52776.00
Time:1663791692	n=81	avg=110.74	stddev=70.54	bps=71760.00
Time:1663791693	n=61	avg=134.54	stddev=75.94	bps=65656.00
Time:1663791694	n=70	avg=114.53	stddev=109.83	bps=64136.00
Time:1663791695	n=46	avg=146.87	stddev=105.33	bps=54048.00
Time:1663791696	n=81	avg=179.96	stddev=112.51	bps=116616.00
Time:1663791697	n=94	avg=219.15	stddev=117.03	bps=164800.00
Time:1663791698	n=79	avg=155.27	stddev=126.41	bps=98128.00
Time:1663791699	n=81	avg=175.62	stddev=117.02	bps=113800.00
Time:1663791700	n=89	avg=149.82	stddev=132.18	bps=106672.00
Time:1663791701	n=96	avg=130.06	stddev=125.87	bps=99888.00
Time:1663791702	n=69	avg=143.19	stddev=107.97	bps=79040.00
Time:1663791703	n=69	avg=112.22	stddev=100.47	bps=61944.00
Time:1663791704	n=85	avg=121.58	stddev=92.96	bps=82672.00
Time:1663791705	n=66	avg=143.74	stddev=71.44	bps=75896.00
Time:1663791706	n=65	avg=106.77	stddev=82.14	bps=55520.00
Time:1663791707	n=65	avg=139.51	stddev=89.77	bps=72544.00
Time:1663791708	n=50	avg=128.94	stddev=88.86	bps=51576.00
Time:1663791709	n=71	avg=130.92	stddev=89.36	bps=74360.00
Time:1663791710	n=62	avg=156.92	stddev=94.79	bps=77832.00
Time:1663791711	n=77	avg=129.03	stddev=107.32	bps=79480.00
Time:1663791712	n=79	avg=134.43	stddev=121.31	bps=84960.00
Time:1663791713	n=49	avg=129.98	stddev=136.10	bps=50952.00
Time:1663791714	n=85	avg=204.54	stddev=139.46	bps=139088.00
Time:1663791715	n=80	avg=144.91	stddev=110.00	bps=92744.00
Time:1663791716	n=89	avg=174.99	stddev=137.19	bps=124592.00
Time:1663791717	n=89	avg=211.65	stddev=109.75	bps=150696.00
Time:1663791718	n=64	avg=171.92	stddev=112.34	bps=88024.00
Time:1663791719	n=36	avg=132.72	stddev=65.88	bps=38224.00
Time:1663791720	n=77	avg=199.14	stddev=116.24	bps=122672.00
Time:1663791721	n=49	avg=134.61	stddev=51.98	bps=52768.00
Time:1663791722	n=49	avg=182.33	stddev=103.31	bps=71472.00
Time:1663791723	n=73	avg=181.51	stddev=114.71	bps=106000.00
Time:1663791724	n=67	avg=126.63	stddev=95.40	bps=67872.00
Time:1663791725	n=61	avg=127.11	stddev=113.21	bps=62032.00
Time:1663791726	n=79	avg=148.43	stddev=119.06	bps=93808.00
Time:1663791727	n=85	avg=198.98	stddev=116.83	bps=135304.00
Time:1663791728	n=69	avg=239.65	stddev=133.09	bps=132288.00
Time:1663791729	n=64	avg=166.02	stddev=121.58	bps=85000.00
Time:1663791730	n=47	avg=161.13	stddev=129.24	bps=60584.00
Time:1663791731	n=118	avg=408.36	stddev=464.94	bps=385488.00
Time:1663791732	n=68	avg=245.94	stddev=106.44	bps=133792.00
Time:1663791733	n=38	avg=141.97	stddev=66.21	bps=43160.00
Time:1663791734	n=81	avg=210.11	stddev=128.76	bps=136152.00
Time:1663791735	n=74	avg=172.00	stddev=99.12	bps=101824.00
Time:1663791736	n=87	avg=207.24	stddev=105.35	bps=144240.00
Time:1663791737	n=97	avg=193.81	stddev=120.61	bps=150400.00
Time:1663791738	n=68	avg=173.65	stddev=83.58	bps=94464.00
Time:1663791739	n=89	avg=178.28	stddev=123.31	bps=126936.00
Time:1663791740	n=83	avg=186.27	stddev=124.31	bps=123680.00
Time:1663791741	n=53	avg=175.45	stddev=148.25	bps=74392.00
Time:1663791742	n=114	avg=183.06	stddev=141.41	bps=166952.00
Time:1663791743	n=90	avg=189.88	stddev=125.29	bps=136712.00
Time:1663791744	n=78	avg=206.73	stddev=121.48	bps=129000.00
Time:1663791745	n=85	avg=149.39	stddev=102.34	bps=101584.00
Time:1663791746	n=60	avg=152.13	stddev=56.30	bps=73024.00
Time:1663791747	n=48	avg=190.02	stddev=76.60	bps=72968.00
Time:1663791748	n=68	avg=195.21	stddev=100.79	bps=106192.00
Time:1663791749	n=60	avg=139.85	stddev=77.68	bps=67128.00
Time:1663791750	n=45	avg=103.20	stddev=53.81	bps=37152.00
Time:1663791751	n=34	avg=111.32	stddev=60.94	bps=30280.00
Time:1663791752	n=46	avg=92.46	stddev=44.52	bps=34024.00
Time:1663791753	n=73	avg=120.42	stddev=103.15	bps=70328.00
Time:1663791754	n=59	avg=111.85	stddev=118.93	bps=52792.00
Time:1663791755	n=86	avg=117.06	stddev=104.99	bps=80536.00
Time:1663791756	n=72	avg=123.39	stddev=129.73	bps=71072.00
Time:1663791757	n=45	avg=113.02	stddev=125.53	bps=40688.00
Time:1663791758	n=55	avg=139.44	stddev=175.09	bps=61352.00
Time:1663791759	n=38	avg=118.03	stddev=129.50	bps=35880.00
Time:1663791760	n=40	avg=116.80	stddev=132.82	bps=37376.00
Time:1663791761	n=42	avg=122.83	stddev=145.49	bps=41272.00
Time:1663791762	n=45	avg=122.89	stddev=86.80	bps=44240.00
Time:1663791763	n=52	avg=129.27	stddev=123.80	bps=53776.00
Time:1663791764	n=53	avg=112.08	stddev=155.37	bps=47520.00
Time:1663791765	n=24	avg=147.96	stddev=77.26	bps=28408.00
Time:1663791766	n=52	avg=117.15	stddev=120.31	bps=48736.00
Time:1663791767	n=42	avg=107.57	stddev=83.34	bps=36144.00
Time:1663791768	n=50	avg=103.86	stddev=113.47	bps=41544.00
Time:1663791769	n=43	avg=112.84	stddev=141.57	bps=38816.00
Time:1663791770	n=43	avg=104.88	stddev=117.75	bps=36080.00
Time:1663791771	n=36	avg=129.86	stddev=143.41	bps=37400.00
Time:1663791772	n=19	avg=109.26	stddev=24.07	bps=16608.00
Time:1663791773	n=27	avg=100.33	stddev=44.53	bps=21672.00
Time:1663791774	n=32	avg=120.50	stddev=95.26	bps=30848.00
Time:1663791775	n=38	avg=135.89	stddev=75.58	bps=41312.00
Time:1663791776	n=46	avg=119.28	stddev=109.35	bps=43896.00
Time:1663791777	n=37	avg=113.68	stddev=124.91	bps=33648.00
Time:1663791778	n=26	avg=94.23	stddev=49.08	bps=19600.00
Time:1663791779	n=39	avg=104.72	stddev=42.38	bps=32672.00
Time:1663791780	n=35	avg=120.69	stddev=61.54	bps=33792.00
Time:1663791781	n=63	avg=157.51	stddev=114.70	bps=79384.00
Time:1663791782	n=33	avg=113.79	stddev=45.39	bps=30040.00
Time:1663791783	n=60	avg=142.20	stddev=130.03	bps=68256.00
Time:1663791784	n=44	avg=105.55	stddev=125.89	bps=37152.00
Time:1663791785	n=53	avg=120.23	stddev=113.51	bps=50976.00
Time:1663791786	n=47	avg=108.60	stddev=68.27	bps=40832.00
Time:1663791787	n=33	avg=122.18	stddev=61.79	bps=32256.00
Time:1663791788	n=35	avg=119.40	stddev=134.73	bps=33432.00
Time:1663791789	n=29	avg=105.17	stddev=50.72	bps=24400.00
Time:1663791790	n=65	avg=124.95	stddev=94.48	bps=64976.00
Time:1663791791	n=54	avg=148.33	stddev=74.09	bps=64080.00
Time:1663791792	n=70	avg=157.59	stddev=85.16	bps=88248.00
Time:1663791793	n=15	avg=105.33	stddev=24.13	bps=12640.00
