Time:1663792047	n=136	avg=777.88	stddev=411.70	bps=846336.00
Time:1663792048	n=181	avg=743.73	stddev=429.49	bps=1076928.00
Time:1663792049	n=129	avg=782.98	stddev=411.93	bps=808040.00
Time:1663792050	n=160	avg=635.70	stddev=469.02	bps=813696.00
Time:1663792051	n=183	avg=694.28	stddev=475.44	bps=1016424.00
Time:1663792052	n=165	avg=709.81	stddev=467.06	bps=936952.00
Time:1663792053	n=142	avg=604.55	stddev=445.21	bps=686768.00
Time:1663792054	n=150	avg=616.78	stddev=449.62	bps=740136.00
Time:1663792055	n=142	avg=561.34	stddev=446.75	bps=637680.00
Time:1663792056	n=140	avg=491.51	stddev=419.99	bps=550496.00
Time:1663792057	n=155	avg=568.20	stddev=454.55	bps=704568.00
Time:1663792058	n=88	avg=573.06	stddev=433.71	bps=403432.00
Time:1663792059	n=53	avg=485.53	stddev=469.23	bps=205864.00
Time:1663792060	n=128	avg=610.49	stddev=425.52	bps=625144.00
Time:1663792061	n=85	avg=543.66	stddev=419.11	bps=369688.00
Time:1663792062	n=97	avg=420.33	stddev=386.92	bps=326176.00
Time:1663792063	n=128	avg=563.78	stddev=430.20	bps=577312.00
Time:1663792064	n=142	avg=616.42	stddev=447.41	bps=700256.00
Time:1663792065	n=162	avg=617.50	stddev=424.19	bps=800280.00
Time:1663792066	n=126	avg=695.13	stddev=417.66	bps=700688.00
Time:1663792067	n=156	avg=762.15	stddev=417.23	bps=951160.00
Time:1663792068	n=224	avg=801.33	stddev=411.21	bps=1435976.00
Time:1663792069	n=91	avg=418.86	stddev=390.69	bps=304928.00
Time:1663792070	n=93	avg=247.76	stddev=289.46	bps=184336.00
Time:1663792071	n=120	avg=316.91	stddev=360.33	bps=304232.00
Time:1663792072	n=109	avg=314.45	stddev=326.53	bps=274200.00
Time:1663792073	n=86	avg=380.64	stddev=363.51	bps=261880.00
Time:1663792074	n=71	avg=313.35	stddev=309.67	bps=177984.00
Time:1663792075	n=101	avg=346.82	stddev=365.38	bps=280232.00
Time:1663792076	n=154	avg=821.13	stddev=416.57	bps=1011632.00
Time:1663792077	n=221	avg=942.74	stddev=334.28	bps=1666768.00
Time:1663792078	n=315	avg=964.05	stddev=311.35	bps=2429408.00
Time:1663792079	n=345	avg=972.31	stddev=299.16	bps=2683576.00
Time:1663792080	n=378	avg=902.52	stddev=362.82	bps=2729232.00
Time:1663792081	n=318	avg=923.56	stddev=334.72	bps=2349544.00
Time:1663792082	n=152	avg=821.99	stddev=400.51	bps=999544.00
Time:1663792083	n=174	avg=746.49	stddev=430.60	bps=1039120.00
Time:1663792084	n=172	avg=788.65	stddev=425.04	bps=1085184.00
Time:1663792085	n=280	avg=898.07	stddev=342.73	bps=2011680.00
Time:1663792086	n=294	avg=860.43	stddev=371.56	bps=2023736.00
Time:1663792087	n=283	avg=816.95	stddev=406.74	bps=1849576.00
Time:1663792088	n=246	avg=930.87	stddev=331.04	bps=1831960.00
Time:1663792089	n=270	avg=929.41	stddev=352.98	bps=2007528.00
Time:1663792090	n=270	avg=920.98	stddev=364.30	bps=1989320.00
Time:1663792091	n=272	avg=889.86	stddev=372.89	bps=1936336.00
Time:1663792092	n=236	avg=972.10	stddev=295.05	bps=1835320.00
Time:1663792093	n=237	avg=919.01	stddev=322.47	bps=1742440.00
Time:1663792094	n=212	avg=846.93	stddev=374.55	bps=1436392.00
Time:1663792095	n=198	avg=896.91	stddev=355.72	bps=1420712.00
Time:1663792096	n=221	avg=796.63	stddev=430.34	bps=1408448.00
Time:1663792097	n=219	avg=756.99	stddev=434.03	bps=1326240.00
Time:1663792098	n=204	avg=809.57	stddev=410.48	bps=1321216.00
Time:1663792099	n=196	avg=877.46	stddev=360.96	bps=1375864.00
Time:1663792100	n=198	avg=812.63	stddev=409.73	bps=1287200.00
Time:1663792101	n=264	avg=862.57	stddev=394.98	bps=1821744.00
Time:1663792102	n=282	avg=895.27	stddev=366.71	bps=2019728.00
Time:1663792103	n=275	avg=923.59	stddev=335.94	bps=2031904.00
Time:1663792104	n=247	avg=759.30	stddev=448.82	bps=1500376.00
Time:1663792105	n=189	avg=882.34	stddev=360.68	bps=1334096.00
Time:1663792106	n=196	avg=858.94	stddev=383.81	bps=1346816.00
Time:1663792107	n=200	avg=846.58	stddev=391.82	bps=1354528.00
Time:1663792108	n=188	avg=904.29	stddev=333.55	bps=1360056.00
Time:1663792109	n=205	avg=825.66	stddev=407.64	bps=1354080.00
Time:1663792110	n=210	avg=819.51	stddev=390.22	bps=1376776.00
Time:1663792111	n=222	avg=772.26	stddev=424.56	bps=1371528.00
Time:1663792112	n=202	avg=831.16	stddev=396.04	bps=1343160.00
Time:1663792113	n=203	avg=837.95	stddev=396.82	bps=1360832.00
Time:1663792114	n=212	avg=802.52	stddev=428.05	bps=1361072.00
Time:1663792115	n=177	avg=947.93	stddev=315.07	bps=1342272.00
Time:1663792116	n=194	avg=859.61	stddev=400.15	bps=1334120.00
Time:1663792117	n=210	avg=810.28	stddev=432.40	bps=1361264.00
Time:1663792118	n=205	avg=811.98	stddev=421.23	bps=1331640.00
Time:1663792119	n=204	avg=849.54	stddev=404.89	bps=1386456.00
Time:1663792120	n=198	avg=857.83	stddev=405.86	bps=1358808.00
Time:1663792121	n=190	avg=885.58	stddev=371.01	bps=1346088.00
Time:1663792122	n=192	avg=882.66	stddev=371.64	bps=1355768.00
Time:1663792123	n=186	avg=902.56	stddev=353.11	bps=1343008.00
Time:1663792124	n=203	avg=825.50	stddev=406.55	bps=1340608.00
Time:1663792125	n=201	avg=851.51	stddev=378.99	bps=1369224.00
Time:1663792126	n=170	avg=773.18	stddev=461.20	bps=1051520.00
Time:1663792127	n=211	avg=811.96	stddev=423.06	bps=1370584.00
Time:1663792128	n=215	avg=789.34	stddev=434.85	bps=1357672.00
Time:1663792129	n=196	avg=863.82	stddev=397.96	bps=1354464.00
Time:1663792130	n=197	avg=892.57	stddev=378.80	bps=1406688.00
Time:1663792131	n=189	avg=889.11	stddev=389.28	bps=1344336.00
Time:1663792132	n=200	avg=842.96	stddev=417.21	bps=1348728.00
Time:1663792133	n=183	avg=912.09	stddev=368.51	bps=1335296.00
Time:1663792134	n=204	avg=842.39	stddev=412.99	bps=1374776.00
Time:1663792135	n=198	avg=844.36	stddev=422.74	bps=1337472.00
Time:1663792136	n=202	avg=841.94	stddev=415.45	bps=1360568.00
Time:1663792137	n=189	avg=888.22	stddev=371.64	bps=1342984.00
Time:1663792138	n=221	avg=783.86	stddev=434.97	bps=1385872.00
Time:1663792139	n=214	avg=786.04	stddev=442.97	bps=1345704.00
Time:1663792140	n=199	avg=851.04	stddev=405.02	bps=1354848.00
Time:1663792141	n=196	avg=862.54	stddev=396.07	bps=1352464.00
Time:1663792142	n=214	avg=811.13	stddev=414.72	bps=1388648.00
Time:1663792143	n=197	avg=851.46	stddev=410.86	bps=1341896.00
Time:1663792144	n=212	avg=801.79	stddev=412.86	bps=1359840.00
Time:1663792145	n=196	avg=860.10	stddev=392.30	bps=1348632.00
Time:1663792146	n=208	avg=824.73	stddev=428.59	bps=1372344.00
Time:1663792147	n=197	avg=858.81	stddev=392.96	bps=1353488.00
Time:1663792148	n=189	avg=878.37	stddev=386.17	bps=1328096.00
Time:1663792149	n=195	avg=863.99	stddev=399.86	bps=1347832.00
Time:1663792150	n=198	avg=852.69	stddev=398.71	bps=1350656.00
Time:1663792151	n=198	avg=863.61	stddev=396.63	bps=1367952.00
Time:1663792152	n=196	avg=856.63	stddev=409.27	bps=1343200.00
Time:1663792153	n=193	avg=877.04	stddev=390.98	bps=1354144.00
Time:1663792154	n=211	avg=796.84	stddev=427.44	bps=1345064.00
Time:1663792155	n=203	avg=837.99	stddev=404.38	bps=1360896.00
Time:1663792156	n=226	avg=758.96	stddev=463.40	bps=1372208.00
Time:1663792157	n=215	avg=801.93	stddev=436.11	bps=1379328.00
Time:1663792158	n=195	avg=872.19	stddev=382.60	bps=1360616.00
Time:1663792159	n=181	avg=926.36	stddev=348.42	bps=1341376.00
Time:1663792160	n=202	avg=830.43	stddev=425.46	bps=1341968.00
Time:1663792161	n=191	avg=883.06	stddev=376.38	bps=1349320.00
Time:1663792162	n=221	avg=783.54	stddev=442.96	bps=1385304.00
